UID,Gratton_ID,Site_ID,DateAB,Date_,DOY,YEAR,County,Latitude,Longitude,Growth_Sta,Aphids_cou,Percentage,Ave_Aphids,UTMX,UTMY,MNN,DFF,ROI,SOS,ROD,EOS,MESS,RSQ,LGS,MID,GRN,pet_Ave,petDOY,petcumDOY,ndv_Ave,ndvDOY,ndvcumDOY,gddDOY,gddSEAS,gddMAX,gddSOS,gddROI,gddRSQ
0,2003001A,1102003A,A,8/4/2003 0:00,216,2003,Dane,43.1901,-89.05886,R3,285.5,100,285.5,332701.6553,4783983.15,1877.599221,9388.822663,0.032778266,164.2316901,-0.033074885,261.0741962,2,0.92045334,96.84250616,212.6529431,5633.210942,255.4371981,431.4444444,8148.111111,4321.987271,7409.297297,115699.3604,862.1644423,827.2180768,1522.321118,206.2721182,0.035143012,0.999381914
1,2003002A,1112003A,A,8/4/2003 0:00,216,2003,Dane,43.25399,-89.06295,R3,369.5,100,369.5,332544.3331,4791086.78,1625.51099,16901.97507,0.027574947,200.7728557,-0.033603912,255.1763076,2,0.897492126,54.40345193,227.9745816,9263.743031,250.1449275,433.2222222,7970.444444,4102.692127,5684.648649,104150.4595,850.109158,992.807995,1497.917452,206.1136044,0.035326793,0.999367464
2,2003003A,1122003A,A,8/5/2003 0:00,217,2003,Manitowoc,44.12577,-87.80134,R2,752.5,100,752.5,435889.0823,4886154.145,1728.101006,8199.870688,0.034876303,148.0444276,-0.024085386,291.9181172,2,0.882066846,143.8736896,219.9812724,4963.985847,238.2801932,405.1111111,7639.555556,4785.122576,8361.135135,117438.2061,680.0788845,697.0100563,1220.000516,208.8660819,0.039259652,0.999393387
5,2003006A,1152003A,A,8/5/2003 0:00,217,2003,Kewaunee,44.60462,-87.50053,R2,817.5,100,817.5,460280.2059,4939152.051,1599.095205,6700.57786,0.045255622,130.1529388,-0.032124136,308.9299438,3,0.898379847,178.777005,219.5414413,4149.836532,226.115942,403.3333333,7290.888889,4766.926784,8295.486486,118481.9564,629.3518338,637.696728,1152.486061,210.0241653,0.040625513,0.999361894
10,2003011A,1202003A,A,8/12/2003 0:00,224,2003,Waupaca,44.32359,-89.04697,R4,795,100,795,336779.7112,4909851.915,1518.117528,7950.519467,0.037698023,157.330831,-0.03656338,278.1249837,2,0.87381497,120.7941527,217.7279074,4734.318498,243.1440217,501.125,8328,4102.671252,8116.513514,113633.631,879.2864583,806.5039899,1391.400556,205.7243434,0.036078958,0.999229916
14,2003015A,1242003A,A,8/13/2003 0:00,225,2003,Brown,44.44665,-88.1503,R2,931.25,100,931.25,408470.2594,4922126.648,1061.05201,7639.764243,0.034431773,141.7266532,-0.031519385,302.9257792,2,0.892109849,161.199126,222.3262162,4350.408126,233.8067633,474.4444444,7997.777778,4316.941112,7891,111785.8865,823.7793511,765.3750469,1299.445524,207.2796607,0.037782451,0.999354897
16,2003017A,1272003A,A,8/14/2003 0:00,226,2003,Manitowoc,43.94896,-87.78197,R3,153,100,153,437252.4559,4866501.145,1837.920209,11108.55804,0.02946608,165.8112671,-0.023776142,265.1998289,2,0.881657287,99.38856184,215.505548,6473.239126,239.3067633,482.3333333,8153.222222,4723.082762,7817.702703,126272.9422,783.3268229,681.3433184,1235.570273,208.7271062,0.038918832,0.999406943
19,2003020A,1312003A,A,8/14/2003 0:00,226,2003,Sheboygan,43.58379,-88.05754,R4,114.75,100,114.75,414621.9635,4826190.249,2127.644013,7280.896614,0.037867562,144.1803866,-0.025956066,282.0942725,2,0.887257345,137.9138859,213.1373296,4704.270314,244.8429952,506.1111111,8285,4771.168558,8031.351351,131537.1591,838.870931,704.8932654,1317.344045,207.6706292,0.03724695,0.999398281
20,2003021A,1322003A,A,8/18/2003 0:00,230,2003,Eau Claire,44.66056,-91.16944,R4,736.25,100,736.25,169446.146,4953705.638,1283.686629,7844.678708,0.039531029,132.3861453,-0.034068555,289.3157653,2,0.901462428,156.92962,210.8509553,4564.182668,237.2608696,421.4444444,8480.444444,4580.866919,8039.837838,137708.5306,981.3505859,767.3345221,1441.387432,205.3197173,0.034758472,0.999111564
21,2003022A,1332003A,A,8/18/2003 0:00,230,2003,Eau Claire,44.77841,-91.393,R4,751.25,100,751.25,152429.5388,4967729.681,1690.531021,7565.284148,0.039216536,142.5607335,-0.033716664,273.7731616,2,0.903601088,131.2124282,208.1669475,4627.907585,255.6086957,477,9023,4358.955347,7532.567568,134995.8108,1027.990885,789.7790876,1507.100196,205.0407979,0.034498177,0.999140686
