OBSERVATION_ID,OBSERVATION_DATE,OBSERVATION_YEAR,OBSERVATION_MONTH,DAY_OF_YEAR,SPECIES_ID,COMMON_NAME,SCIENTIFIC_NAME,PLANT_GROUP,PHENOPHASE_NAME,PHENOPHASE_ID,OBSERVATION_TYPE,OBSERVATION_COMMENT,LATITUDE,LONGITUDE,SITE_ID,SITE_NAME,SITE_CITY,SITE_STATE,SITE_COMMENT,OBSERVER_ID
24608,2014-01-02,2014,1,002,7,Apple,Malus pumila,occ_trees,Leaves Unfolding (None),110,Single,Happy New Year!,40.0361,-105.062,10632,Erie Test Site,Erie,CO,,373
24609,2014-01-02,2014,1,002,7,Apple,Malus pumila,occ_trees,Leaves Changing Color (None),120,Single,Happy New Year!,40.0361,-105.062,10632,Erie Test Site,Erie,CO,,373
24610,2014-01-02,2014,1,002,7,Apple,Malus pumila,occ_trees,Leaves Dropping (None),130,Single,Happy New Year!,40.0361,-105.062,10632,Erie Test Site,Erie,CO,,373
24611,2014-01-02,2014,1,002,7,Apple,Malus pumila,occ_trees,Flowers (None),140,Single,Happy New Year!,40.0361,-105.062,10632,Erie Test Site,Erie,CO,,373
24612,2014-01-02,2014,1,002,7,Apple,Malus pumila,occ_trees,Fruit (None),150,Single,Happy New Year!,40.0361,-105.062,10632,Erie Test Site,Erie,CO,,373
24624,2014-01-04,2014,1,004,174,Skunk cabbage,Symplocarpus foetidus,wildflowers_herbs,First Flower,21,Regular,"not actual flower yet,but first spikes comingout of the soil. January??? 2013 checked in w/ being the driest on local record, no winter rains yet to speak of",41.8234,-124.148,10637,younkers,crescent city,CA,,15140
24625,2014-01-08,2014,1,008,169,Sea rosemary,Argusia gnaphalodes,occ_evergreens,Flowers (Middle),412,Single,,36.38,-75.8305,10641,Corolla,Corolla,NC,,20489
24626,2014-01-08,2014,1,008,169,Sea rosemary,Argusia gnaphalodes,occ_evergreens,Fruit (None),420,Single,,36.38,-75.8305,10641,Corolla,Corolla,NC,,20489
24627,2014-01-08,2014,1,008,240,American holly,Ilex opaca,occ_evergreens,Flowers (None),410,Single,"Cedar Waxwings, Red-wing BB, and Robins feasting in 11 degrees",37.1218,-76.4484,10642,the Drive,tabb,VA,,20489
24628,2014-01-08,2014,1,008,240,American holly,Ilex opaca,occ_evergreens,Fruit (Middle),422,Single,"Cedar Waxwings, Red-wing BB, and Robins feasting in 11 degrees",37.1218,-76.4484,10642,the Drive,tabb,VA,,20489
