"id","project_id","quality","observer","year","doy","sp_sciname","sp_local_id","phase_id","BBCH_code","BBCH_subcode","latitude","longitude"
"65092","1","1","2592","2014","345","Corylus avellana","6163","53","61","10","57.3492","12.1155"
"65022","0","1","3022","2014","340","Primula veris","8449","54","65","50","59.771","17.6419"
"65023","1","1","1080","2014","340","Petasites albus","9612","52","60","1","55.7925","13.4992"
"64934","1","1","1417","2014","336","Salix caprea","6089","96","97","-1","57.6812","11.9512"
"65024","0","0","1198","2014","333","Corylus avellana","6163","53","61","10","57.7414","12.0874"
"64933","1","1","2486","2014","330","Salix caprea","6089","95","97","95","57.6518","12.0278"
"64932","1","1","1417","2014","329","Salix caprea","6089","95","97","95","57.6812","11.9512"
"64940","1","1","329","2014","328","Prunus padus","7432","96","97","-1","55.7264","13.0247"
"64949","1","1","329","2014","328","Salix caprea","6089","96","97","-1","56.0714","12.757"
"64957","1","1","329","2014","326","Alnus glutinosa","6148","95","97","95","55.7269","13.0113"
"64958","1","1","329","2014","326","Salix caprea","6089","95","97","95","55.7274","13.0008"
"64959","1","1","329","2014","326","Betula pendula","6157","94","95","50","55.7184","13.017"
"64928","0","1","64","2014","325","Betula pendula","6157","95","97","95","59.8414","17.6034"
"64899","1","1","2494","2014","324","Betula pendula","6157","96","97","-1","56.028","14.1464"
"64900","1","1","2494","2014","324","Populus tremula","6074","96","97","-1","56.0286","14.1458"
"64901","1","1","2494","2014","324","Salix caprea","6089","95","97","95","56.0284","14.1463"
"64902","1","1","1922","2014","324","Acer platanoides","8026","96","97","-1","55.5494","13.005"
"64903","1","1","1922","2014","324","Fagus sylvatica","6165","95","97","95","55.5491","13.0043"
"64904","1","1","1922","2014","324","Solidago virgaurea","9701","74","89","50","55.5491","13.0043"
"64905","1","1","1922","2014","324","Solidago virgaurea","9701","74","89","50","55.549","13.0047"
"64892","0","1","1293","2014","322","Fagus sylvatica","6165","96","97","-1","55.6314","13.7056"
"64893","0","1","1293","2014","322","Betula pendula/pubescens","10758","96","97","-1","55.6314","13.7056"
"64894","0","1","1293","2014","322","Syringa vulgaris","8472","96","97","-1","55.6314","13.7056"
"64895","0","1","1293","2014","322","Corylus avellana","6163","95","97","95","55.6314","13.7056"
