Site_ID,Site_Type,Site_Name,State,Latitude,Longitude,Lat_Long_Datum,Lat_Long_Source,Elevation_in_Meters,Elevation_Source,Degree_of_Development_Surrounding_Site,Landscape_Description,Proximity_to_Road,Proximity_to_Permanent_Water,Area_of_Site,Type_of_Forest_at_Site,Presence_of_Slope,Location_Relative_to_Slope,Slope_Aspect,Presence_of_Domesticated_Cats,Presence_of_Domesticated_Dogs,Presence_of_Domesticated_Animals,Presence_of_Garden,Presence_of_Bird_Feeder,Presence_of_Nesting_Box,Presence_of_Fruit,Presence_of_Birdbath,Presence_of_Other_Features_Designed_to_Attract_Animals,Site_Comments,Site_Registration_Date,num_individuals,num_records,group_name,
"2","Personal","Home","ME","43.085350","-70.691330","WGS84","User","12","Auto-USGS-WebService","Suburban","Landscaped area (such as vegetable or flower garden, lawn, arboretum)","","","","A mixture of evergreen and deciduous trees","","In the middle of the slope","Southwest","","","","","","","","","","","","52","38745",""
"3","Personal","BEW_Home","TN","35.879211","-84.172203","WGS84","Google Maps","284","Auto-USGS-WebService","Suburban","Landscaped area (such as vegetable or flower garden, lawn, arboretum)","20 ft","4 mi","0.3 ac","Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat","","","1","1","","1","","","","","","","","23","22334",""
"6","Personal","Stewardship Garden","NY","43.040955","-76.212914","WGS84","Google","163","Earthtools","","","","","","","","","","","","","","","","","","","","","58","6528",""
"9","Personal","PPN_470055","WI","43.097801","-87.892998","WGS84","User","201","Auto-USGS-WebService","Suburban","Landscaped area (such as vegetable or flower garden, lawn, arboretum)","","","","Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat","","","","","","","","","","","","Plant Phenology Network station PPN_470055","","11","12019",""
"10","Personal","Sonora Cohousing","AZ","32.280167","-110.963211","WGS84","Google Maps","710","Auto-USGS-WebService","Urban","Shrubland, shrub thicket or shrubby field (with few tall trees)","","","","Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat","","","","","","","","","","","","mixed use area, including parking lots, trails, backyards with native vegetation or bare soil.","","6","291",""
"19","Group","Zumwalt Prairie","OR","45.568645","-116.974190","WGS84","Google Maps","1380","Auto-USGS-WebService","","","","","","","","","","","","","1","","","","","","Lat/long and elevation is the Hartschworn Butte study area on TNCand#39;s Zumwalt Prairie Preserve","","54","14313","Zumwalt Prairie Phenology"
"21","Personal","9050039","CO","37.629002","-106.672997","WGS84","USGS","2576","USGS","","","","","","","","","","","","","","","","","","","","","2","330",""
"22","Personal","Conkey Branch Survey","IL","40.060001","-87.570000","WGS84","Other","209","Other","","","","","","","","","","","","","","","","","","","Latitude, longitude and elevation obtained from the National Weather Servive for whom I am a COOP obsever.","","4","110",""
"27","Personal","Marys house","AZ","32.224602","-110.906807","WGS84","Google Maps","769","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","","","3","84",""
"29","Personal","University of Wyoming SREC","WY","44.839001","-106.839996","WGS84","Other","1146","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","","","1","10",""
"30","Personal","Theresa Yard","AZ","32.216873","-110.801132","WGS84","Google Maps","818","Auto-USGS-WebService","Suburban","Other (please describe in comments box)","","","","","","","","","","","","","","","","","primarily gravel","","16","3040",""
"38","Personal","Cedar Bog Lake Lowland 2","MN","45.407852","-93.200974","WGS84","Google Maps","281","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","","","14","18205",""
"39","Personal","Jagerhenge","IL","41.520191","-88.417480","WGS84","Google Maps","187","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","NPN Station # 9110026  Cocorahs Station # IL-KD-9","","4","546",""
"40","Personal","Holy Hill 2E","WI","43.242199","-88.288902","WGS84","GPS","290","USGS","","","","","","","","","","","","","","","","","","","This site is located in the central Kettle Moraine State Forest, exactly 2 miles due east of Holy Hill, a major local landmark. This site is also 2000 feet west of Friess Lake.","","3","305",""
"41","Personal","High Plains Grassland Research Station","WY","41.183384","-104.897568","WGS84","Google Maps","1930","Other","","","","","","","","","","","","","","","","","","","","","5","155",""
"44","Personal","9360018","PA","40.633945","-75.662949","WGS84","Google Maps","620","USGS","","","","","","","","","","","","","","","","","","","","","10","1764",""
"48","Personal","PPN_44881","CA","37.956501","-119.119499","WGS84","User","2067","","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_44881","","1","392",""
"50","Personal","PPN_47343","CA","40.459999","-124.190002","WGS84","User","638","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_47343","","3","20",""
"54","Personal","PPN_51713","CO","38.553902","-107.090698","WGS84","User","2838","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_51713","","1","18",""
"56","Personal","PPN_52184","NM","36.680000","-106.349998","WGS84","User","3194","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_52184","","3","134",""
"59","Personal","PPN_54444","CO","38.699001","-103.421600","WGS84","User","1515","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_54444","","3","60",""
"60","Personal","PPN_54770","CO","37.884998","-102.667603","WGS84","User","1223","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_54770","","2","260",""
"62","Personal","PPN_56320","CO","38.389160","-108.950043","WGS84","","1657","Auto-USGS-WebService","Rural","Landscaped area (such as vegetable or flower garden, lawn, arboretum)","1500 ft","150 ft","2 ac","A mixture of evergreen and deciduous trees","Yes, and the site is...","In the middle of the slope","South","1","1","","1","1","","1","","","Plant Phenology Network station PPN_56320","","12","193",""
"63","Personal","PPN_58690","CO","40.965267","-105.218773","WGS84","Google Maps","2136","User","Rural","Forest or woodland","","","","Mostly evergreen trees (for example, pine or live oak)","","At the bottom of the slope or in a valley between slopes","Southeast","","","","","","","","","","Plant Phenology Network station PPN_58690","","10","1085",""
"65","Personal","PPN_65445","CT","41.972836","-73.220451","WGS84","Google Maps","400","Auto-USGS-WebService","Rural","Landscaped area (such as vegetable or flower garden, lawn, arboretum)","50 ft","500 ft","0.25 ac","A mixture of evergreen and deciduous trees","No, the surrounding terrain is relatively flat","","","","1","","1","","","","","","Plant Phenology Network station PPN_65445","","3","1828",""
"66","Personal","PPN_102875","ID","45.886501","-115.105301","WGS84","User","1453","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_102875","","1","21",""
"67","Personal","PPN_104670","ID","42.723801","-114.338501","WGS84","User","1204","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_104670","","1","61",""
"70","Personal","PPN_109000","ID","45.102840","-114.851440","WGS84","Google Maps","1175","Auto-USGS-WebService","Wildlands or semi-wildlands","Forested wetland (such as swamp or mangrove)","","","","Mostly evergreen trees (for example, pine or live oak)","","At the bottom of the slope or in a valley between slopes","North","","","","","","","","","","Plant Phenology Network station PPN_109000","","20","3488",""
"73","Personal","PPN_112048","IL","42.260548","-88.395477","WGS84","User","286","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_112048","","2","85",""
"75","Personal","PPN_115646","IL","40.630001","-87.649200","WGS84","User","203","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_115646","","2","100",""
"80","Personal","PPN_118740","IL","40.089001","-88.226997","WGS84","User","214","","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_118740","","4","1520",""
"81","Personal","PPN_120550","IN","38.830002","-86.529999","WGS84","User","155","","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_120550","","3","159",""
"86","Personal","PPN_128992","IN","41.543133","-87.032005","WGS84","Google Maps","262","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_128992","","4","20",""
"88","Personal","PPN_130112","IA","41.020000","-92.805000","WGS84","User","286","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_130112","","1","27",""
"93","Personal","PPN_134308","IA","42.929218","-93.795433","WGS84","User","361","User","Rural","Landscaped area (such as vegetable or flower garden, lawn, arboretum)","","","","","No, the surrounding terrain is relatively flat","","","","","","","","","","","","Plant Phenology Network station PPN_134308","","3","163",""
"94","Personal","PPN_134874","IA","41.814499","-96.046402","WGS84","User","315","Auto-USGS-WebService","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_134874","","2","20",""
