Protocol_ID,Protocol_Name,Datasheet_Title,Datasheet_Subtitle,Suite_of_Phenophase_IDs,Protocol_Comments,
"21","Conifer_2008","","","'106,105,109,107,108'",""
"23","Deciduous-leaf first_2008","","","'56,57,61,182,63,184,58,59,60'",""
"24","Deciduous-pollen only_2008","","","'56,57,61,182,63,184,60'",""
"53","Broadleaf evergreen-no-flower_2009","","","'371,484,390'",""
"209","Deciduous_2011","Trees and Shrubs","Deciduous","'371,483,467,498,471,500,501,516,390,504'",""
"210","Deciduous-pollen_2011","Trees and Shrubs","Deciduous (with pollen)","'371,483,467,498,471,500,501,502,516,390,504'",""
"211","Deciduous-no-fall_2011","Trees and Shrubs","Deciduous (no leaf fall)","'371,483,467,498,500,501,516,390,504'",""
"212","Deciduous-no-fall-no-color_2011","Trees and Shrubs","Deciduous (no leaf color or fall)","'371,483,467,500,501,516,390,504'",""
"213","Deciduous-no-fall-no-color-pollen_2011","Trees and Shrubs","Deciduous (pollen, no leaf color or fall)","'371,483,467,500,501,502,516,390,504'",""
"214","Evergreen_2011","Trees and Shrubs","Broadleaf evergreen","'371,484,500,501,516,390,504'",""
"215","Evergreen-pollen_2011","Trees and Shrubs","Broadleaf evergreen (with pollen)","'371,484,500,501,502,516,390,504'",""
"216","Evergreen-no-flower_2011","Trees and Shrubs","Broadleaf evergreen (no flowers)","'371,484,516,390,504'",""
"220","Deciduous-no-color_2011","Trees and Shrubs","Deciduous (no leaf color)","'371,483,467,471,500,501,516,390,504'",""
"233","Deciduous_2012","Trees and Shrubs","Deciduous","'371,483,467,498,471,500,501,516,390,504'",""
"234","Deciduous-pollen_2012","Trees and Shrubs","Deciduous (with pollen)","'371,483,467,498,471,500,501,502,516,390,504'",""
"238","Evergreen_2012","Trees and Shrubs","Broadleaf evergreen","'371,484,500,501,516,390,504'",""
"239","Evergreen-pollen_2012","Trees and Shrubs","Broadleaf evergreen (with pollen)","'371,484,500,501,502,516,390,504'",""
"240","Evergreen-no-flower_2012","Trees and Shrubs","Broadleaf evergreen (no flowers)","'371,484,516,390,504'",""
"244","Deciduous-no-color_2012","Trees and Shrubs","Deciduous (no leaf color)","'371,483,467,471,500,501,516,390,504'",""
"265","Semi-evergreen-pollen_2013","Trees and Shrubs","Semi-evergreen (with pollen)","'371,484,483,467,498,471,500,501,502,516,390,504'",""
"279","Deciduous-pollen_2011_AT_4_Phenophase","Trees and Shrubs","Deciduous (with pollen)","'371,483,498,471'",""
"280","Deciduous-pollen_2011_AT_5_Phenophase","Trees and Shrubs","Deciduous (with pollen)","'371,483,498,471,516'",""
"281","Deciduous-pollen_2012_AT_4_Phenophase","Trees and Shrubs","Deciduous (with pollen)","'371,483,498,471'",""
"282","Deciduous-pollen_2012_AT_5_Phenophase","Trees and Shrubs","Deciduous (with pollen)","'371,483,498,471,516'",""
"283","Deciduous_2011_AT_4_Phenophase","Trees and Shrubs","Deciduous","'371,483,498,471'",""
"285","Deciduous_2012_AT_4_Phenophase","Trees and Shrubs","Deciduous","'371,483,498,471'",""
"313","Semi-evergreen_2015","Trees and Shrubs","Semi-evergreen","'371,484,483,467,498,471,500,501,516,390,504'",""
"22","Deciduous-flower first_2008","","","'56,57,61,182,63,184,58,59,60'",""
"33","Deciduous-flower first-no fruit_2008","","","'56,57,61,182,63,184,58,59'",""
"35","Deciduous-flower first-no fruit or elongation_2008","","","'56,61,182,63,184,58,59'",""
"264","Rockweed_2012","Rockweed","","'510,511,512,513,514,515'",""
"28","Lilac-Indicator Obs Program_2005","","","'76,75,77,78,79'",""
"119","Lilac Western program_1956","","","'76,75,412,78,79'",""
"120","Honeysuckle Western program_1968","","","'76,75,428,78,416,417,418,420,419'",""
"121","Lilac Eastern Program_1961","","","'76,75,77,78,79'",""
"122","Honeysuckle Eastern Program_1971","","","'76,75,428,429,79'",""
"123","Honeysuckle-Indicator Obs Program_2005","","","'76,75,428,429,79'",""
"36","Deciduous-flower_2009","","","'371,483,180,181,182,183,184,501,186,390'",""
